game_id,campeon,frases,resultado
1297814575#participant1,Poppy,"Buen uso del barón, Poco daño con Poppy, Torretas ignoradas, Jugador pasivo",1
1297814575#participant2,Diana,"Jungla agresivo, Buen uso del barón, Mucho daño con Diana, Buen farmeador, KDA alto, Alta participación en muertes, Sobreviviente, Malos ganks, Sin centinelas de control",1
1297814575#participant3,Zoe,"Buen uso del barón, Destructor de torretas, Buen farmeador, KDA alto, Sobreviviente, Buena visión, Jugador pasivo",1
1297814575#participant4,Kai'Sa,"Buen uso del barón, Destructor de torretas, Buen farmeador, KDA alto, Sobreviviente, Buena visión",1
1297814575#participant5,Pyke,"Buen uso del barón, Ingankeable, KDA alto, Rotación excelente, Buena visión, Nivel 6 tardío",1
1297814575#participant6,Kennen,"Buen farmeador, Buena visión",0
1297814575#participant7,Zac,"Jungla agresivo, Buen farmeador, Malos ganks, Sin centinelas de control, Mala visión",0
1297814575#participant8,Sylas,"Jugador agresivo, Buen farmeador, Rotación excelente, Buena visión, Torretas ignoradas, Muere en ganks, Sin centinelas de control, Baja participación en muertes",0
1297814575#participant9,Jinx,"Mucho daño con Jinx, Destructor de torretas temprano, Buen farmeador, Buena visión",0
1297814575#participant10,Milio,"Destructor de torretas temprano, Jugador seguro, Sin centinelas de control",0
1297486494#participant1,Riven,"Buen uso del barón, Ingankeable, Buena visión, Jugador seguro",1
1297486494#participant2,Fiddlesticks,"Jungla agresivo, Buen uso del barón, Destructor de torretas, Buen duelista, KDA alto, Alta participación en muertes, Buena visión, Dejó de farmear, Malo para farmear",1
1297486494#participant3,Malzahar,"Buen uso del barón, Mucho daño con Malzahar, Destructor de torretas, Ingankeable, Buen farmeador, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Hace split push, Dejó de farmear, Jugador pasivo",1
1297486494#participant4,Kai'Sa,"Jugador agresivo, Buen uso del barón, Buen farmeador, KDA alto, Rotación excelente, Sobreviviente, Buena visión, Ávaro",1
1297486494#participant5,Leona,"Buen uso del barón, Buena visión",1
1297486494#participant6,Mordekaiser,"Buen farmeador, Dejó de farmear, Jugador pasivo",0
1297486494#participant7,Rek'Sai,"Buen farmeador, Mal duelista",0
1297486494#participant8,Diana,"Destructor de torretas temprano, Alta participación en muertes, Rotación excelente, Dejó de farmear",0
1297486494#participant9,Caitlyn,"Destructor de torretas temprano, Buen farmeador, Alta participación en muertes, Sin centinelas de control",0
1297486494#participant10,Thresh,"Destructor de torretas temprano, Alta participación en muertes, Buena visión, Torretas ignoradas, Muere en ganks, Carril vulnerable",0
1297607275#participant1,Jax,"Destructor de torretas, Buena visión, Ávaro, Jugador pasivo",1
1297607275#participant2,Poppy,"Jungla agresivo, Dejó de farmear",1
1297607275#participant3,Veigar,"Jugador agresivo, Mucho daño con Veigar, Ingankeable, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Rotación excelente, Sobreviviente, Buena visión, Jugador seguro, Torretas ignoradas",1
1297607275#participant4,Jhin,"Destructor de torretas, Destructor de torretas temprano, Buen farmeador, KDA alto, Buena visión, Jugador seguro, Ávaro",1
1297607275#participant5,Senna,"Destructor de torretas, Ingankeable, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Sobreviviente, Buena visión, Jugador seguro",1
1297607275#participant6,Aatrox,"Buen duelista, Alta participación en muertes, Dejó de farmear, Sin centinelas de control, Mala visión",0
1297607275#participant7,Ekko,"Malos ganks, Torretas ignoradas, Sin centinelas de control, Nivel 6 tardío, Jungla pasivo",0
1297607275#participant8,Yasuo,"Alta participación en muertes, Buena visión, Dejó de farmear, Poco daño con Yasuo, Muere en ganks, Jugador pasivo",0
1297607275#participant9,Jinx,"Mucho daño con Jinx, Ingankeable, Buen farmeador, Buena visión, Baja participación en muertes, Jugador pasivo",0
1297607275#participant10,Lulu,"Torretas ignoradas, Nivel 6 tardío",0
1297594746#participant1,Sion,"Mal duelista, Jugador pasivo, Carril vulnerable",0
1297594746#participant2,Nunu y Willump,"Buena visión, Malos ganks, Jungla pasivo",0
1297594746#participant3,Akali,"Jugador agresivo, Buen duelista, Buen farmeador, Alta participación en muertes, Buena visión, Jugador seguro",0
